,date,value
0,1388534400000,12172.1
1,1388620800000,12157.7
2,1388707200000,12150.5
3,1388793600000,12155.4
4,1388880000000,12150.5
5,1388966400000,12154.166667
6,1389052800000,12210.366667
7,1389139200000,12195.4
8,1389225600000,12151.0
9,1389312000000,12125.816667
10,1389398400000,12092.183333
11,1389484800000,12047.433333
12,1389571200000,11973.433333
13,1389657600000,11997.316667
14,1389744000000,11996.783333
15,1389830400000,12031.1
16,1389916800000,12026.233333
17,1390003200000,12021.516667
18,1390089600000,12014.466667
19,1390176000000,12104.333333
20,1390262400000,12058.633333
21,1390348800000,12093.533333
22,1390435200000,12118.816667
23,1390521600000,12138.816667
24,1390608000000,12158.283333
25,1390694400000,12163.183333
26,1390780800000,12199.166667
27,1390867200000,12189.233333
28,1390953600000,12158.1
29,1391040000000,12178.966667
30,1391126400000,12196.166667
31,1391212800000,12196.166667
32,1391299200000,12196.166667
33,1391385600000,12215.166667
34,1391472000000,12169.85
35,1391558400000,12149.916667
36,1391644800000,12135.9
37,1391731200000,12103.8
38,1391817600000,12101.4
39,1391904000000,12111.0
40,1391990400000,12119.5
41,1392076800000,12104.083333
42,1392163200000,12056.866667
43,1392249600000,11962.733333
44,1392336000000,11848.883333
45,1392422400000,11783.966667
46,1392508800000,11783.966667
47,1392595200000,11795.0
48,1392681600000,11771.966667
49,1392768000000,11773.6
50,1392854400000,11804.033333
51,1392940800000,11762.216667
52,1393027200000,11747.5
53,1393113600000,11724.283333
54,1393200000000,11660.95
55,1393286400000,11650.383333
56,1393372800000,11637.55
57,1393459200000,11668.466667
58,1393545600000,11619.916667
59,1393632000000,11610.266667
60,1393718400000,11599.7
61,1393804800000,11587.433333
62,1393891200000,11612.816667
63,1393977600000,11589.15
64,1394064000000,11508.533333
65,1394150400000,11448.116667
66,1394236800000,11435.016667
67,1394323200000,11440.333333
68,1394409600000,11381.333333
69,1394496000000,11403.516667
70,1394582400000,11437.683333
71,1394668800000,11420.35
72,1394755200000,11371.266667
73,1394841600000,11360.466667
74,1394928000000,11339.033333
75,1395014400000,11312.766667
76,1395100800000,11310.166667
77,1395187200000,11324.65
78,1395273600000,11419.25
79,1395360000000,11445.566667
80,1395446400000,11433.85
81,1395532800000,11427.333333
82,1395619200000,11390.166667
83,1395705600000,11403.45
84,1395792000000,11416.85
85,1395878400000,11435.166667
86,1395964800000,11384.95
87,1396051200000,11367.616667
88,1396137600000,11376.65
89,1396224000000,11344.5
90,1396310400000,11305.066667
91,1396396800000,11292.233333
92,1396483200000,11319.433333
93,1396569600000,11321.516667
94,1396656000000,11319.366667
95,1396742400000,11319.366667
96,1396828800000,11313.333333
97,1396915200000,11297.4
98,1397001600000,11291.233333
99,1397088000000,11333.066667
100,1397174400000,11408.283333
101,1397260800000,11414.783333
102,1397347200000,11410.433333
103,1397433600000,11430.166667
104,1397520000000,11432.55
105,1397606400000,11439.4
106,1397692800000,11426.966667
107,1397779200000,11436.95
108,1397865600000,11430.666667
109,1397952000000,11432.85
110,1398038400000,11448.683333
111,1398124800000,11494.333333
112,1398211200000,11589.166667
113,1398297600000,11618.55
114,1398384000000,11590.816667
115,1398470400000,11571.033333
116,1398556800000,11578.666667
117,1398643200000,11576.0
118,1398729600000,11559.866667
119,1398816000000,11566.133333
120,1398902400000,11557.55
121,1398988800000,11532.45
122,1399075200000,11526.116667
123,1399161600000,11521.7
124,1399248000000,11518.033333
125,1399334400000,11532.7
126,1399420800000,11553.2
127,1399507200000,11558.833333
128,1399593600000,11545.866667
129,1399680000000,11543.083333
130,1399766400000,11543.083333
131,1399852800000,11531.95
132,1399939200000,11530.533333
133,1400025600000,11472.516667
134,1400112000000,11458.966667
135,1400198400000,11399.833333
136,1400284800000,11395.5
137,1400371200000,11405.683333
138,1400457600000,11392.283333
139,1400544000000,11454.35
140,1400630400000,11487.0
141,1400716800000,11517.933333
142,1400803200000,11579.7
143,1400889600000,11590.916667
144,1400976000000,11570.7
145,1401062400000,11575.4
146,1401148800000,11579.866667
147,1401235200000,11616.666667
148,1401321600000,11642.883333
149,1401408000000,11665.15
150,1401494400000,11678.7
151,1401580800000,11686.033333
152,1401667200000,11735.583333
153,1401753600000,11803.883333
154,1401840000000,11867.483333
155,1401926400000,11856.116667
156,1402012800000,11834.616667
157,1402099200000,11825.283333
158,1402185600000,11850.6
159,1402272000000,11804.366667
160,1402358400000,11823.083333
161,1402444800000,11816.15
162,1402531200000,11797.95
163,1402617600000,11811.75
164,1402704000000,11806.75
165,1402790400000,11806.75
166,1402876800000,11812.916667
167,1402963200000,11866.95
168,1403049600000,11957.733333
169,1403136000000,11959.0
170,1403222400000,11968.433333
171,1403308800000,11973.183333
172,1403395200000,11971.616667
173,1403481600000,11998.716667
174,1403568000000,11992.383333
175,1403654400000,12074.2
176,1403740800000,12105.666667
177,1403827200000,12047.95
178,1403913600000,12030.95
179,1404000000000,12015.683333
180,1404086400000,11910.0
181,1404172800000,11892.6
182,1404259200000,11901.666667
183,1404345600000,11916.133333
184,1404432000000,11908.566667
185,1404518400000,11882.616667
186,1404604800000,11887.316667
187,1404691200000,11774.983333
188,1404777600000,11721.333333
189,1404864000000,11660.516667
190,1404950400000,11605.8
191,1405036800000,11613.466667
192,1405123200000,11588.916667
193,1405209600000,11591.15
194,1405296000000,11653.65
195,1405382400000,11712.766667
196,1405468800000,11712.95
197,1405555200000,11710.883333
198,1405641600000,11650.15
199,1405728000000,11541.966667
200,1405814400000,11519.3
201,1405900800000,11589.333333
202,1405987200000,11597.883333
203,1406073600000,11533.283333
204,1406160000000,11563.766667
205,1406246400000,11563.5
206,1406332800000,11576.866667
207,1406419200000,11577.2
208,1406505600000,11594.166667
209,1406592000000,11592.2
210,1406678400000,11586.15
211,1406764800000,11597.633333
212,1406851200000,11759.916667
213,1406937600000,11771.416667
214,1407024000000,11800.95
215,1407110400000,11779.783333
216,1407196800000,11747.733333
217,1407283200000,11772.016667
218,1407369600000,11785.35
219,1407456000000,11789.416667
220,1407542400000,11784.783333
221,1407628800000,11775.15
222,1407715200000,11711.016667
223,1407801600000,11702.383333
224,1407888000000,11694.8
225,1407974400000,11681.016667
226,1408060800000,11691.683333
227,1408147200000,11691.683333
228,1408233600000,11691.683333
229,1408320000000,11683.3
230,1408406400000,11681.416667
231,1408492800000,11711.683333
232,1408579200000,11714.65
233,1408665600000,11680.783333
234,1408752000000,11678.516667
235,1408838400000,11673.966667
236,1408924800000,11705.0
237,1409011200000,11726.366667
238,1409097600000,11689.75
239,1409184000000,11697.516667
240,1409270400000,11698.816667
241,1409356800000,11698.816667
242,1409443200000,11704.583333
243,1409529600000,11713.016667
244,1409616000000,11735.7
245,1409702400000,11774.966667
246,1409788800000,11785.466667
247,1409875200000,11772.266667
248,1409961600000,11769.966667
249,1410048000000,11748.066667
250,1410134400000,11744.233333
251,1410220800000,11764.166667
252,1410307200000,11814.216667
253,1410393600000,11833.45
254,1410480000000,11838.433333
255,1410566400000,11840.766667
256,1410652800000,11862.566667
257,1410739200000,11934.566667
258,1410825600000,11946.1
259,1410912000000,11959.6
260,1410998400000,11994.516667
261,1411084800000,11994.2
262,1411171200000,11978.35
263,1411257600000,11991.8
264,1411344000000,11983.3
265,1411430400000,11975.9
266,1411516800000,11965.566667
267,1411603200000,11976.9
268,1411689600000,12021.133333
269,1411776000000,12042.816667
270,1411862400000,12042.816667
271,1411948800000,12144.15
272,1412035200000,12186.733333
273,1412121600000,12164.55
274,1412208000000,12170.166667
275,1412294400000,12176.15
276,1412380800000,12179.266667
277,1412467200000,12181.733333
278,1412553600000,12204.4
279,1412640000000,12198.35
280,1412726400000,12224.05
281,1412812800000,12203.733333
282,1412899200000,12211.883333
283,1412985600000,12219.983333
284,1413072000000,12219.983333
285,1413158400000,12212.816667
286,1413244800000,12218.783333
287,1413331200000,12219.35
288,1413417600000,12243.65
289,1413504000000,12151.466667
290,1413590400000,12116.816667
291,1413676800000,12126.116667
292,1413763200000,12060.283333
293,1413849600000,12009.35
294,1413936000000,12026.1
295,1414022400000,12042.1
296,1414108800000,12057.233333
297,1414195200000,12066.916667
298,1414281600000,12124.533333
299,1414368000000,12162.833333
300,1414454400000,12156.2
301,1414540800000,12099.483333
302,1414627200000,12128.4
303,1414713600000,12109.366667
304,1414800000000,12084.866667
305,1414886400000,12082.433333
306,1414972800000,12101.266667
307,1415059200000,12126.283333
308,1415145600000,12140.216667
309,1415232000000,12163.866667
310,1415318400000,12160.633333
311,1415404800000,12161.3
312,1415491200000,12168.7
313,1415577600000,12170.233333
314,1415664000000,12197.5
315,1415750400000,12202.366667
316,1415836800000,12219.016667
317,1415923200000,12207.983333
318,1416009600000,12212.933333
319,1416096000000,12227.933333
320,1416182400000,12208.166667
321,1416268800000,12144.1
322,1416355200000,12152.733333
323,1416441600000,12176.983333
324,1416528000000,12148.266667
325,1416614400000,12143.366667
326,1416700800000,12151.55
327,1416787200000,12157.2
328,1416873600000,12169.483333
329,1416960000000,12182.733333
330,1417046400000,12173.466667
331,1417132800000,12210.8
332,1417219200000,12230.65
333,1417305600000,12214.066667
334,1417392000000,12247.733333
335,1417478400000,12276.1
336,1417564800000,12311.0
337,1417651200000,12305.383333
338,1417737600000,12304.266667
339,1417824000000,12309.333333
340,1417910400000,12311.866667
341,1417996800000,12358.7
342,1418083200000,12340.316667
343,1418169600000,12355.266797
344,1418256000000,12391.583268
345,1418342400000,12489.633464
346,1418428800000,12536.10013
347,1418515200000,12536.10013
348,1418601600000,12703.033398
349,1418688000000,12795.70013
350,1418774400000,12702.416667
351,1418860800000,12587.399935
352,1418947200000,12537.716667
353,1419033600000,12479.316667
354,1419120000000,12445.033333
355,1419206400000,12443.666797
356,1419292800000,12462.95
357,1419379200000,12472.09987
358,1419465600000,12462.64987
359,1419552000000,12436.083333
360,1419638400000,12436.05
361,1419724800000,12420.55
362,1419811200000,12428.233203
363,1419897600000,12433.183268
364,1419984000000,12419.883268
365,1420070400000,12504.416797
366,1420156800000,12504.416797
367,1420243200000,12528.04987
368,1420329600000,12525.44987
369,1420416000000,12587.916667
370,1420502400000,12640.599935
371,1420588800000,12684.849935
372,1420675200000,12682.466732
373,1420761600000,12641.666536
374,1420848000000,12620.34987
375,1420934400000,12612.69987
376,1421020800000,12587.966732
377,1421107200000,12594.849935
378,1421193600000,12598.8
379,1421280000000,12554.3
380,1421366400000,12590.266797
381,1421452800000,12598.15013
382,1421539200000,12598.266797
383,1421625600000,12629.800065
384,1421712000000,12586.483464
385,1421798400000,12519.633203
386,1421884800000,12489.133398
387,1421971200000,12467.450065
388,1422057600000,12467.450065
389,1422144000000,12467.483398
390,1422230400000,12493.016602
391,1422316800000,12478.516732
392,1422403200000,12497.783333
393,1422489600000,12567.966797
394,1422576000000,12671.016667
395,1422662400000,12705.633333
396,1422748800000,12727.216667
397,1422835200000,12697.516797
398,1422921600000,12646.833268
399,1423008000000,12633.866602
400,1423094400000,12620.900065
401,1423180800000,12639.900065
402,1423267200000,12653.433398
403,1423353600000,12636.483398
404,1423440000000,12693.133464
405,1423526400000,12702.883268
406,1423612800000,12756.383398
407,1423699200000,12770.25013
408,1423785600000,12775.79987
409,1423872000000,12764.916536
410,1423958400000,12764.89987
411,1424044800000,12757.533398
412,1424131200000,12783.033464
413,1424217600000,12834.583268
414,1424304000000,12852.066602
415,1424390400000,12842.40013
416,1424476800000,12850.666797
417,1424563200000,12831.433464
418,1424649600000,12850.816536
419,1424736000000,12880.316536
420,1424822400000,12878.65013
421,1424908800000,12855.35
422,1424995200000,12924.4
423,1425081600000,12952.216667
424,1425168000000,12963.3
425,1425254400000,12984.35
426,1425340800000,12980.35
427,1425427200000,12989.216667
428,1425513600000,13010.966667
429,1425600000000,13019.4
430,1425686400000,13019.433333
431,1425772800000,13056.5
432,1425859200000,13082.9
433,1425945600000,13137.516667
434,1426032000000,13166.35
435,1426118400000,13193.4
436,1426204800000,13209.333333
437,1426291200000,13220.9
438,1426377600000,13232.55
439,1426464000000,13236.283333
440,1426550400000,13190.6
441,1426636800000,13122.033333
442,1426723200000,13086.883333
443,1426809600000,13064.383333
444,1426896000000,13078.6
445,1426982400000,13053.083333
446,1427068800000,12998.483333
447,1427155200000,12952.366667
448,1427241600000,12967.966667
449,1427328000000,12993.883333
450,1427414400000,13050.133333
451,1427500800000,13070.033333
452,1427587200000,13067.133333
453,1427673600000,13081.833333
454,1427760000000,13073.166667
455,1427846400000,13030.5
456,1427932800000,13019.266667
457,1428019200000,12985.133333
458,1428105600000,12962.883333
459,1428192000000,12976.7
460,1428278400000,12965.866667
461,1428364800000,12976.066667
462,1428451200000,12976.666667
463,1428537600000,12949.6
464,1428624000000,12928.516667
465,1428710400000,12934.233333
466,1428796800000,12922.933333
467,1428883200000,12992.1
468,1428969600000,12970.35
469,1429056000000,12939.083333
470,1429142400000,12873.216667
471,1429228800000,12845.833333
472,1429315200000,12840.333333
473,1429401600000,12840.35
474,1429488000000,12906.133333
475,1429574400000,12939.416667
476,1429660800000,12928.116667
477,1429747200000,12935.766667
478,1429833600000,12935.25
479,1429920000000,12938.05
480,1430006400000,12939.033333
481,1430092800000,12959.166667
482,1430179200000,12969.933333
483,1430265600000,12945.8
484,1430352000000,12956.383333
485,1430438400000,12968.966667
486,1430524800000,12977.366667
487,1430611200000,12991.466667
488,1430697600000,12989.05
489,1430784000000,13031.9
490,1430870400000,13021.766667
491,1430956800000,13092.8
492,1431043200000,13099.3
493,1431129600000,13107.933333
494,1431216000000,13096.4
495,1431302400000,13140.2
496,1431388800000,13164.95
497,1431475200000,13141.6
498,1431561600000,13074.55
499,1431648000000,13074.333333
500,1431734400000,13080.05
501,1431820800000,13071.483333
502,1431907200000,13123.116667
503,1431993600000,13138.883333
504,1432080000000,13150.75
505,1432166400000,13128.533333
506,1432252800000,13150.966667
507,1432339200000,13150.216667
508,1432425600000,13164.683333
509,1432512000000,13185.183333
510,1432598400000,13211.983333
511,1432684800000,13191.583333
512,1432771200000,13210.85
513,1432857600000,13210.7
514,1432944000000,13216.516667
515,1433030400000,13222.333333
516,1433116800000,13218.166667
517,1433203200000,13203.183333
518,1433289600000,13231.866667
519,1433376000000,13266.166667
520,1433462400000,13321.083333
521,1433548800000,13338.85
522,1433635200000,13363.866667
523,1433721600000,13376.45
524,1433808000000,13342.533333
525,1433894400000,13291.116667
526,1433980800000,13300.8
527,1434067200000,13311.2
528,1434153600000,13320.2
529,1434240000000,13323.15
530,1434326400000,13333.566667
531,1434412800000,13335.816667
532,1434499200000,13337.566667
533,1434585600000,13326.9
534,1434672000000,13323.2
535,1434758400000,13326.15
536,1434844800000,13325.983333
537,1434931200000,13317.0
538,1435017600000,13278.3
539,1435104000000,13296.083333
540,1435190400000,13314.466667
541,1435276800000,13318.6
542,1435363200000,13321.483333
543,1435449600000,13315.583333
544,1435536000000,13329.35
545,1435622400000,13348.216667
546,1435708800000,13337.533333
547,1435795200000,13318.283333
548,1435881600000,13337.416667
549,1435968000000,13340.383333
550,1436054400000,13340.383333
551,1436140800000,13325.9
552,1436227200000,13341.883333
553,1436313600000,13355.433333
554,1436400000000,13332.55
555,1436486400000,13319.616667
556,1436572800000,13307.8
557,1436659200000,13313.5
558,1436745600000,13296.0
559,1436832000000,13314.8
560,1436918400000,13339.983333
561,1437004800000,13346.116667
562,1437091200000,13355.383333
563,1437177600000,13355.383333
564,1437264000000,13364.316667
565,1437350400000,13391.516667
566,1437436800000,13379.95
567,1437523200000,13393.966667
568,1437609600000,13419.133333
569,1437696000000,13444.6
570,1437782400000,13459.666667
571,1437868800000,13456.65
572,1437955200000,13460.8
573,1438041600000,13457.55
574,1438128000000,13468.35
575,1438214400000,13472.583333
576,1438300800000,13511.75
577,1438387200000,13509.083333
578,1438473600000,13526.966667
579,1438560000000,13505.466667
580,1438646400000,13496.466667
581,1438732800000,13509.766667
582,1438819200000,13520.383333
583,1438905600000,13530.266667
584,1438992000000,13533.333333
585,1439078400000,13532.6
586,1439164800000,13528.1
587,1439251200000,13623.066667
588,1439337600000,13741.216667
589,1439424000000,13724.216667
590,1439510400000,13807.35
591,1439596800000,13807.35
592,1439683200000,13829.916667
593,1439769600000,13822.016667
594,1439856000000,13837.1
595,1439942400000,13802.933333
596,1440028800000,13835.566667
597,1440115200000,13864.516667
598,1440201600000,13906.233333
599,1440288000000,13897.383333
600,1440374400000,13971.283333
601,1440460800000,13983.216667
602,1440547200000,14147.4
603,1440633600000,14048.7
604,1440720000000,14086.75
605,1440806400000,14043.716667
606,1440892800000,14066.733333
607,1440979200000,14076.4
608,1441065600000,14067.266667
609,1441152000000,14127.566667
610,1441238400000,14193.3
611,1441324800000,14171.483333
612,1441411200000,14175.05
613,1441497600000,14158.733333
614,1441584000000,14237.8
615,1441670400000,14245.166667
616,1441756800000,14241.9
617,1441843200000,14300.783333
618,1441929600000,14285.766667
619,1442016000000,14289.266667
620,1442102400000,14304.583333
621,1442188800000,14291.916667
622,1442275200000,14383.15
623,1442361600000,14430.333333
624,1442448000000,14436.85
625,1442534400000,14411.85
626,1442620800000,14381.216667
627,1442707200000,14401.366667
628,1442793600000,14453.766667
629,1442880000000,14535.1
630,1442966400000,14609.683333
631,1443052800000,14686.866667
632,1443139200000,14672.683333
633,1443225600000,14661.9
634,1443312000000,14659.55
635,1443398400000,14641.95
636,1443484800000,14674.033333
637,1443571200000,14670.55
638,1443657600000,14684.366667
639,1443744000000,14685.0
640,1443830400000,14681.466667
641,1443916800000,14703.083333
642,1444003200000,14619.95
643,1444089600000,14378.116667
644,1444176000000,14056.35
645,1444262400000,13948.633333
646,1444348800000,13600.166667
647,1444435200000,13540.6
648,1444521600000,13439.683333
649,1444608000000,13439.683333
650,1444694400000,13557.15
651,1444780800000,13534.333333
652,1444867200000,13484.683333
653,1444953600000,13507.283333
654,1445040000000,13507.4
655,1445126400000,13503.933333
656,1445212800000,13509.4
657,1445299200000,13576.916667
658,1445385600000,13738.2
659,1445472000000,13696.333333
660,1445558400000,13612.05
661,1445644800000,13602.833333
662,1445731200000,13618.25
663,1445817600000,13615.116667
664,1445904000000,13634.9
665,1445990400000,13606.7
666,1446076800000,13603.116667
667,1446163200000,13708.616667
668,1446249600000,13708.616667
669,1446336000000,13739.85
670,1446422400000,13698.066667
671,1446508800000,13621.8
672,1446595200000,13578.1
673,1446681600000,13546.65
674,1446768000000,13592.633333
675,1446854400000,13592.833333
676,1446940800000,13694.716667
677,1447027200000,13731.916667
678,1447113600000,13642.95
679,1447200000000,13589.433333
680,1447286400000,13581.516667
681,1447372800000,13637.0
682,1447459200000,13656.833333
683,1447545600000,13698.233333
684,1447632000000,13693.5
685,1447718400000,13746.5
686,1447804800000,13795.583333
687,1447891200000,13772.25
688,1447977600000,13690.25
689,1448064000000,13646.533333
690,1448150400000,13653.0
691,1448236800000,13696.433333
692,1448323200000,13712.683333
693,1448409600000,13679.983333
694,1448496000000,13726.55
695,1448582400000,13744.316667
696,1448668800000,13772.433333
697,1448755200000,13778.583333
698,1448841600000,13825.75
699,1448928000000,13776.383333
700,1449014400000,13787.8
701,1449100800000,13768.066667
702,1449187200000,13830.25
703,1449273600000,13833.416667
704,1449360000000,13827.1
705,1449446400000,13822.866667
706,1449532800000,13929.05
707,1449619200000,13952.833333
708,1449705600000,13958.45
709,1449792000000,13957.7
710,1449878400000,13987.116667
711,1449964800000,13952.166667
712,1450051200000,14036.25
713,1450137600000,14060.2
714,1450224000000,14018.433333
715,1450310400000,14006.75
716,1450396800000,13949.483333
717,1450483200000,13923.183333
718,1450569600000,13906.933333
719,1450656000000,13807.166667
720,1450742400000,13690.083333
721,1450828800000,13656.933333
722,1450915200000,13636.7
723,1451001600000,13626.6
724,1451088000000,13617.333333
725,1451174400000,13630.5
726,1451260800000,13633.933333
727,1451347200000,13678.55
728,1451433600000,13781.233333
729,1451520000000,13808.383333
730,1451606400000,13808.383333
731,1451692800000,13819.383333
732,1451779200000,13831.666667
733,1451865600000,13922.666667
734,1451952000000,13896.483333
735,1452038400000,13912.583333
736,1452124800000,13923.666667
737,1452211200000,13912.283333
738,1452297600000,13919.15
739,1452384000000,13912.566667
740,1452470400000,13862.366667
741,1452556800000,13888.333333
742,1452643200000,13865.483333
743,1452729600000,13881.616667
744,1452816000000,13899.533333
745,1452902400000,13947.183333
746,1452988800000,13956.916667
747,1453075200000,13900.833333
748,1453161600000,13874.95
749,1453248000000,13916.383333
750,1453334400000,13884.933333
751,1453420800000,13849.5
752,1453507200000,13825.45
753,1453593600000,13819.266667
754,1453680000000,13843.766667
755,1453766400000,13832.55
756,1453852800000,13873.866667
757,1453939200000,13855.766667
758,1454025600000,13772.866667
759,1454112000000,13763.483333
760,1454198400000,13777.116667
761,1454284800000,13706.45
762,1454371200000,13737.033333
763,1454457600000,13718.1
764,1454544000000,13666.8
765,1454630400000,13627.05
766,1454716800000,13620.9
767,1454803200000,13617.766667
768,1454889600000,13640.6
769,1454976000000,13614.716667
770,1455062400000,13510.933333
771,1455148800000,13495.8
772,1455235200000,13474.516667
773,1455321600000,13483.583333
774,1455408000000,13489.683333
775,1455494400000,13434.333333
776,1455580800000,13431.516667
777,1455667200000,13466.766667
778,1455753600000,13500.516667
779,1455840000000,13496.616667
780,1455926400000,13505.7
781,1456012800000,13493.6
782,1456099200000,13433.5
783,1456185600000,13428.45
784,1456272000000,13408.116667
785,1456358400000,13424.8
786,1456444800000,13411.45
787,1456531200000,13402.466667
788,1456617600000,13414.45
789,1456704000000,13370.0
790,1456790400000,13328.5
791,1456876800000,13312.55
792,1456963200000,13233.7
793,1457049600000,13121.333333
794,1457136000000,13089.916667
795,1457222400000,13081.5
796,1457308800000,13079.633333
797,1457395200000,13154.533333
798,1457481600000,13120.4
799,1457568000000,13127.5
800,1457654400000,13041.1
801,1457740800000,13015.683333
802,1457827200000,13015.683333
803,1457913600000,13033.666667
804,1458000000000,13132.616667
805,1458086400000,13150.35
806,1458172800000,13087.516667
807,1458259200000,13104.4
808,1458345600000,13103.9
809,1458432000000,13101.066667
810,1458518400000,13143.733333
811,1458604800000,13164.366667
812,1458691200000,13185.966667
813,1458777600000,13249.783333
814,1458864000000,13262.7
815,1458950400000,13262.766667
816,1459036800000,13262.766667
817,1459123200000,13314.85
818,1459209600000,13333.483333
819,1459296000000,13286.2
820,1459382400000,13228.266667
821,1459468800000,13189.433333
822,1459555200000,13163.266667
823,1459641600000,13143.1
824,1459728000000,13151.966667
825,1459814400000,13209.5
826,1459900800000,13215.183333
827,1459987200000,13200.0
828,1460073600000,13142.916667
829,1460160000000,13134.4
830,1460246400000,13122.766667
831,1460332800000,13119.433333
832,1460419200000,13105.133333
833,1460505600000,13152.433333
834,1460592000000,13167.716667
835,1460678400000,13189.2
836,1460764800000,13183.416667
837,1460851200000,13183.416667
838,1460937600000,13154.316667
839,1461024000000,13132.75
840,1461110400000,13143.3
841,1461196800000,13159.466667
842,1461283200000,13189.35
843,1461369600000,13195.133333
844,1461456000000,13200.933333
845,1461542400000,13208.85
846,1461628800000,13200.016667
847,1461715200000,13202.35
848,1461801600000,13192.366667
849,1461888000000,13187.133333
850,1461974400000,13190.033333
851,1462060800000,13190.033333
852,1462147200000,13128.5
853,1462233600000,13201.433333
854,1462320000000,13282.85
855,1462406400000,13324.916667
856,1462492800000,13347.783333
857,1462579200000,13350.766667
858,1462665600000,13356.733333
859,1462752000000,13356.4
860,1462838400000,13296.366667
861,1462924800000,13289.416667
862,1463011200000,13287.633333
863,1463097600000,13319.3
864,1463184000000,13325.2
865,1463270400000,13328.15
866,1463356800000,13317.316667
867,1463443200000,13309.816667
868,1463529600000,13392.316667
869,1463616000000,13507.316667
870,1463702400000,13593.933333
871,1463788800000,13615.4
872,1463875200000,13615.666667
873,1463961600000,13594.9
874,1464048000000,13622.483333
875,1464134400000,13632.2
